Step,MLP,GAUSSIAN,BETA
51200,-86.5853042602539,-76.041877746582,125.557174682617
102400,-33.4895172119141,-61.4299125671387,348.06982421875
153600,-40.4508895874023,-22.4367828369141,600.64501953125
204800,-9.03810882568359,68.1304321289063,789.990661621094
256000,37.1527786254883,192.564834594727,886.893737792969
307200,96.4504089355469,352.491607666016,937.962219238281
358400,183.627304077148,471.314788818359,961.333923339844
409600,322.119445800781,589.078735351563,962.379333496094
460800,456.380493164063,741.594299316406,967.28955078125
512000,543.15283203125,892.576538085938,897.231628417969
563200,638.747375488281,767.587097167969,906.999267578125
614400,597.100891113281,701.983581542969,1006.4013671875
665600,583.77490234375,832.125122070313,1077.38940429688
716800,486.801574707031,779.67236328125,1022.84753417969
768000,708.40234375,959.438293457031,1095.26342773438
819200,719.282287597656,1056.57250976563,1134.50048828125
870400,833.771606445313,1160.37829589844,1139.90966796875
921600,995.027526855469,1108.39855957031,1155.55969238281
972800,937.77197265625,1084.3193359375,1151.30554199219
1024000,1013.53064,1098.52356,1171.393188
